threshold,nb_model,nb_treat_all,nb_treat_none,horizon
0.7100000000000001,0.08564554931836404,-1.6623897353648762,0.0,12h
0.72,0.0764119601328904,-1.7574750830564778,0.0,12h
0.73,0.07149009474590873,-1.8596037898363476,0.0,12h
0.74,0.05688729874776388,-1.9695885509838995,0.0,12h
0.75,0.046511627906976744,-2.088372093023256,0.0,12h
0.76,0.026356589147286835,-2.217054263565892,0.0,12h
0.77,0.019615773508594544,-2.3569261880687566,0.0,12h
0.78,0.007610993657505255,-2.5095137420718823,0.0,12h
0.79,0.012403100775193798,-2.6766334440753052,0.0,12h
0.8,-0.01395348837209305,-2.860465116279071,0.0,12h
0.81,-0.022521419828641434,-3.063647490820075,0.0,12h
0.8200000000000001,-0.010852713178294629,-3.2894056847545237,0.0,12h
0.8300000000000001,0.002735978112175047,-3.5417236662106726,0.0,12h
0.8400000000000001,0.018604651162790642,-3.8255813953488405,0.0,12h
0.85,0.03720930232558141,-4.147286821705426,0.0,12h
0.86,0.030564784053156158,-4.514950166112957,0.0,12h
0.87,0.008944543828264762,-4.9391771019678,0.0,12h
0.88,-0.013953488372093023,-5.434108527131784,0.0,12h
0.89,-0.024524312896405928,-6.0190274841437645,0.0,12h
0.9,-0.009302325581395376,-6.720930232558141,0.0,12h
0.91,-0.019638242894056884,-7.578811369509046,0.0,12h
0.92,-0.05581395348837216,-8.651162790697677,0.0,12h
0.93,-0.01528239202657812,-10.029900332225921,0.0,12h
0.9400000000000001,0.023255813953488372,-11.868217054263578,0.0,12h
0.9500000000000001,0.009302325581395349,-14.4418604651163,0.0,12h
0.9600000000000001,0.0,-18.302325581395383,0.0,12h
0.97,0.0,-24.736434108527106,0.0,12h
0.98,0.0,-37.60465116279066,0.0,12h
0.01,0.3207070707070707,0.3145743145743146,0.0,24h
0.02,0.3199708454810496,0.3075801749271137,0.0,24h
0.03,0.3193772354302546,0.30044182621502213,0.0,24h
0.04,0.3188775510204082,0.2931547619047619,0.0,24h
