seed,model,brier_12h,ece_12h,mce_12h,cal_slope_12h,cal_intercept_12h,brier_24h,ece_24h,mce_24h,cal_slope_24h,cal_intercept_24h,brier_48h,ece_48h,mce_48h,cal_slope_48h,cal_intercept_48h,c_index,c_index_proxy,c_index_uno,ibs,ibs_proxy,ibs_continuous
314,Full Model,0.06375582367291696,0.05462280351965115,0.6376009961181877,0.7750478008826788,-0.061820295265243214,0.034861761738111216,0.014378797665538963,0.7080043376339396,0.9444975696788862,-0.053397017203262835,0.027193924162361376,0.015591648501033728,0.7952340178515448,0.9886423725149048,0.06889823810786425,0.941702550513415,0.941702550513415,0.9428739639478143,0.04193716985779652,0.04193716985779652,
314,AFT + Cox + Simple,0.062181718605375295,0.037500694672249646,0.543682270962351,0.8294604661531233,-0.08554098368807705,0.03574127578768388,0.0165270069742508,0.25728920007382045,0.9937392372535936,-0.06060784106885688,0.025687172622860202,0.010958781734873541,0.1175016516657772,1.0726643641825333,-0.15197710245718166,0.9402947996025174,0.9402947996025174,0.9415136855599974,0.041203389005306464,0.041203389005306464,
314,AFT + Cox,0.062181718605375295,0.037500694672249646,0.543682270962351,0.8294604661531233,-0.08554098368807705,0.0376004575285172,0.02068821894510972,0.7842934844472634,0.7430192770818674,0.2685951919340051,0.029577470351936645,0.020983602967677407,0.642718322187628,0.7771590272029077,0.2950486709573987,0.9403362040410732,0.9403362040410732,0.9415785782250807,0.04311988216194305,0.04311988216194305,
314,Per-horizon XGBoost,0.05657816089395506,0.04680749111873812,0.8292202800512314,1.1875429830122022,0.023624489871851242,0.030847197622719424,0.04046820716609302,0.44399985671043396,1.4576467340424335,-0.6889124050792413,0.022626639050999278,0.03758933708206359,0.7101850509643555,1.617762213091349,-1.0308812104969916,0.9412885061278569,0.9412885061278569,0.9425834343828647,0.03668399918922459,0.03668399918922459,
314,RSF,0.05098901172881371,0.028296516928855556,0.3810895525764842,1.6443019147412883,-0.21627802191689624,0.027200888227737578,0.02686774143992221,0.3284988696885185,1.5302626859790773,-0.724701551093444,0.017012307843324713,0.03156511367149997,0.24665676265863545,1.9281037284098204,-1.468793662882836,0.9414541238820802,0.9414541238820802,0.9429110950776657,0.03173406926662534,0.03173406926662534,
2024,Full Model,0.0601250351525647,0.0428659368697549,0.434524932226392,0.7863899537352884,-0.0009367395809414655,0.0352715152045114,0.01513829568050767,0.42968134700395266,0.9739159027885907,-0.08890282405686491,0.026044157445204615,0.020657377062685334,0.8810972617206584,1.000988485652561,-0.17155129747129927,0.9361543557469361,0.9361543557469361,0.9377977345912653,0.04048023593409356,0.04048023593409356,
2024,AFT + Cox + Simple,0.05771416194497513,0.03579680440833833,0.5050197801879446,0.895423594668905,0.004784092361887593,0.034876418527703,0.03354466668507227,0.7087370650979294,1.0526656546140125,-0.17463682198806582,0.024010514880986458,0.023583723839496036,0.7741035003572276,1.120244452811689,-0.27555487349474983,0.9342083471348128,0.9342083471348128,0.9359007480364893,0.03886703178455486,0.03886703178455486,
2024,AFT + Cox,0.05771416194497513,0.03579680440833833,0.5050197801879446,0.895423594668905,0.004784092361887593,0.03423403240033295,0.020722365845447746,0.8349370569210602,0.8476445896278015,0.10264156378736561,0.024869334101378874,0.020006842576179774,0.8011468870966721,0.8479080454464368,0.021565410700542995,0.9362371646240477,0.9362371646240477,0.9377416515424377,0.03893917614889565,0.03893917614889565,
2024,Per-horizon XGBoost,0.05810091077257972,0.05407130594560226,0.85206114128232,1.1931098921733165,0.08753732854565528,0.03277907208943556,0.032019824336035826,0.4588465690612793,1.3781527224182448,-0.5429597809718896,0.02290016732122036,0.027407651531498857,0.25034236907958984,1.8010234469543003,-1.5969902536992444,0.9402947996025174,0.9402947996025174,0.9416315582119071,0.03792671672774522,0.03792671672774522,
2024,RSF,0.05073934749804908,0.03400432922966182,0.3136397090533202,1.6352397128007237,-0.14969772070207638,0.027628060637405367,0.02317616784055293,0.6950644719339591,1.4450290656267475,-0.5901222124219627,0.01667032246935521,0.03614962264680892,0.223562669185851,2.064701606351477,-1.888111779081015,0.9412056972507453,0.9412056972507453,0.9426482052208663,0.031679243534936556,0.031679243534936556,
7777,Full Model,0.0628799381367245,0.049806961771680675,0.6928433130320134,0.7743731220672376,-0.17553181503320264,0.03662873347673919,0.025712339747909412,0.854158780691018,0.9670965066329357,-0.03405463978198773,0.027216505027389794,0.02048393387432756,0.854158780691018,1.025161231157119,0.13293205539267744,0.933959920503478,0.933959920503478,0.9355975279741078,0.04224172554695116,0.04224172554695116,
7777,AFT + Cox + Simple,0.06070633033433827,0.03518517675224614,0.5161920108791083,0.8402098464788773,-0.040945030138212546,0.03579733130089527,0.020806984214899134,0.755053246931435,1.0454073815541087,-0.10308520091737339,0.02738490835891525,0.024170195101193268,0.755053246931435,1.0326363320131031,0.004676409914635993,0.9354918847300431,0.9354918847300431,0.9371497616514854,0.0412961899980496,0.0412961899980496,
7777,AFT + Cox,0.06070633033433827,0.03518517675224614,0.5161920108791083,0.8402098464788773,-0.040945030138212546,0.035288137245937524,0.020219880890933194,0.6434826962046842,0.8416306255698996,0.10207687755286113,0.02699362176101745,0.024709631190894116,0.6434826962046842,0.8390338090922342,0.1149959058545807,0.9337114938721431,0.9337114938721431,0.9354714176011114,0.040996029780431084,0.040996029780431084,
7777,Per-horizon XGBoost,0.05852457461284164,0.05555618171861698,0.532232977449894,1.2091057004587573,0.16270430347078546,0.032595546766142756,0.03525010475470704,0.5689060389995575,1.3973193203376562,-0.3942672104839086,0.024764008393083858,0.0420994590855686,0.7075693011283875,1.4579935321479038,-0.495133869347683,0.9397565419012918,0.9397565419012918,0.941071828551821,0.03862804325735609,0.03862804325735609,
7777,RSF,0.05174155138755297,0.041479236996732644,0.2591834289133344,1.5074632437055182,-0.05641343753011947,0.02683274695049979,0.02584406966223559,0.3117825132835652,1.5987412836041306,-0.7786408786489684,0.016818763382319024,0.034967021895564526,0.24979330694424784,2.0271429135222183,-1.60266827763214,0.9398807552169592,0.9398807552169592,0.9415264260166463,0.03179768724012393,0.03179768724012393,
